time_s,layer,hot_radius_m,alpha_avg,saved_set,saved_time_s,surface_node_count,h_W_m2_K,surface_temperature_mean_C,surface_temperature_std_C,surface_temperature_min_C,surface_temperature_max_C,recession_rate_mean_um_s,recession_rate_std_um_s,recession_rate_min_um_s,recession_rate_max_um_s,controller_rate_from_Ts_max_um_s,temperature_unit
0.05,0,0.13335,0.0022948754,1,0.05,135900,988.94701,570.0832788347421,5.6492698157517705,532.1466458624977,615.9709866264284,78.21001348589931,0.26603945204623636,76.04903675178778,79.99655252148828,76.04903659291713,degC
0.1,0,0.13335,0.0064741005,2,0.1,135900,979.85487,766.0456996284696,2.5817694266725857,739.0354042588451,792.2142555558048,68.3474108245708,0.12046473075915437,67.12639239760571,69.60770460828817,67.12639219024067,degC
0.15,0,0.13335,0.0140715,3,0.15000000000000002,135900,963.83159,883.2407377155322,1.3831220452960586,867.3278190683866,896.1816199594181,61.85087514125551,0.06348079619436914,61.25693080272563,62.5812262689326,61.25693080086306,degC
0.2,0,0.13335,0.02518458,4,0.2,135900,947.76351,960.6892155976759,1.1895636957227744,951.6932527855522,967.7643839822412,57.32438301378569,0.05368690779175182,57.005069374643014,57.73038517048322,57.005069554367914,degC
0.25,0,0.13335,0.039619571,5,0.25,135900,932.94382,1016.1178416572569,0.7964251611553389,1011.7097562611209,1021.1710080256767,53.96556476576779,0.035381901532970335,53.741073321251164,54.16139790997528,53.741073677799044,degC
0.3,0,0.13335,0.057018534,6,0.30000000000000004,135900,919.90084,1057.8499724136475,0.4841451260318872,1055.1178082686793,1061.334544359513,51.38303384270042,0.021207881338982795,51.23039285888889,51.50271575184204,51.23039480204857,degC
0.35,0,0.13335,0.076929066,7,0.35000000000000003,135900,908.79597,1090.3358790248203,0.4154803003803002,1086.96865600913,1092.794516194564,49.356887470015984,0.01798032488571458,49.2504874913705,49.50260740843268,49.250488192206426,degC
0.4,0,0.13335,0.098894225,8,0.4,135900,899.51963,1116.2595262700393,0.38954657099118634,1112.406909106025,1118.4669132741328,47.742667168147584,0.016685942257417173,47.64811536142428,47.90769120461926,47.648115930012054,degC
0.45,0,0.13335,0.12249807,9,0.45,135900,891.80733,1137.4714264570703,0.3790360799465662,1133.3550206703067,1139.774140727242,46.432525064310894,0.016096531163372098,46.334735661214005,46.60733653354376,46.33473739077842,degC
0.5,0,0.13335,0.14737714,10,0.5,135900,885.388,1155.2611715145483,0.3871514519208753,1150.8946764705895,1157.4474438562083,45.348259127384615,0.01632282141492,45.25608297043045,45.532356380431324,45.256084819466665,degC
0.55,0,0.13335,0.17321838,11,0.55,135900,880.02765,1170.5224838882923,0.41367415140194347,1166.0179305275806,1172.6494360616362,44.43416820162492,0.017335461491618888,44.3450359767311,44.622936368688094,44.34503748793285,degC
0.6,0,0.13335,0.1997518,12,0.6000000000000001,135900,875.53801,1183.8824570228649,0.4502233387287759,1179.0606734989815,1186.210837053516,43.65047043394238,0.01877084028791183,43.55339494734431,43.85150161256867,43.55339649219009,degC
0.65,0,0.13335,0.22674493,13,0.65,135900,871.76396,1195.7939037020892,0.48388515529960435,1190.7860236165163,1198.3524855368057,42.967838158609915,0.02008731615091419,42.861624852313874,43.17572812882915,42.86162425190952,degC
0.7,0,0.13335,0.25400036,14,0.7000000000000001,135900,868.57344,1206.5748503582963,0.5081561521168195,1201.6029248523905,1209.4842270519712,42.364675725276626,0.02101766367148902,42.24434204322515,42.570317746233215,42.24434316211199,degC
0.75,0,0.13335,0.28135236,15,0.75,135900,865.85456,1216.4572582634885,0.5215174161182085,1211.5764988132075,1219.5370600235697,41.82459909826002,0.021502772993588964,41.6976152697904,42.0258385185595,41.69761362151542,degC
0.8,0,0.13335,0.30866312,16,0.8,135900,863.5133,1225.6216121191023,0.523420443092866,1220.7248143916306,1229.1709061580386,41.33467059393876,0.021522881623932514,41.18872475545151,41.53602535418074,41.18872500866809,degC
0.85,0,0.13335,0.33581704,17,0.8500000000000001,135900,861.47729,1234.20989489035,0.5151104401066224,1229.3822571227106,1238.0573335493557,40.88489604072269,0.021131235523512395,40.72706361075119,41.08293891220686,40.72706498703729,degC
0.9,0,0.13335,0.36271784,18,0.9,135900,859.68486,1242.329817169751,0.49831710491660575,1237.6543166691106,1246.4844703885947,40.46742071350461,0.02039979383694465,40.297340119657456,40.65882342747238,40.29733890744428,degC
0.95,0,0.13335,0.38928619,19,0.9500000000000001,135900,858.08449,1250.062818462526,0.47452057157599664,1245.6404944173655,1254.5209097893824,40.07610802229146,0.019389463935966553,39.89394521169246,40.2568093400489,39.893945611698044,degC
1.0,0,0.13335,0.41545701,20,1.0,135900,856.63528,1257.471922736046,0.4451157060069719,1253.3773713993992,1262.137302593411,39.706190560136605,0.018157229402270485,39.51587965630708,39.87321613779103,39.51587976209789,degC
1.05,0,0.13335,0.44117713,21,1.05,135900,855.30643,1264.60733023708,0.41238309430421194,1260.683636937669,1269.3485989875892,39.3539794470758,0.016795900580080406,39.160872892377306,39.513787071282195,39.16087285114295,degC
1.1,0,0.13335,0.46640318,22,1.1,135900,854.07419,1271.5087625416552,0.37871238665137136,1267.6994676450406,1276.2497272271796,39.01659953884921,0.015402308327249382,38.8237835591536,39.17152432233956,38.82378466648843,degC
1.15,0,0.13335,0.4911,23,1.1500000000000001,135900,852.92028,1278.207814872864,0.34615172258962196,1274.5557410714669,1282.8912149640112,38.69180187040233,0.014059039245410613,38.50158439815978,38.840131766081754,38.501585005926856,degC
1.2,0,0.13335,0.51523852,24,1.2000000000000002,135900,851.83446,1284.7300014672865,0.31594234946229494,1281.2652439427964,1289.290799934977,38.37798181168164,0.012815741935492647,38.19297965454384,38.51852466191522,38.192979651906285,degC
1.25,0,0.13335,0.53879439,25,1.25,135900,850.8121,1291.0958438386315,0.2883503205416708,1287.8410905544738,1295.4680199014037,38.07400986130388,0.011682473416939605,37.89687175189737,38.20587574114561,37.896872558199995,degC
1.3,0,0.13335,0.56174737,26,1.3,135900,849.85105,1297.3216667000947,0.26341695743403015,1294.298089555947,1301.4573226832492,37.77904925046069,0.01066024656491026,37.611682984759604,37.90141068906592,37.611683902730235,degC
1.35,0,0.13335,0.58408076,27,1.35,135900,848.94967,1303.4196884216192,0.24221093528768786,1300.6530530895272,1307.2762077413656,37.492459855355406,0.00979166159918448,37.33655553136267,37.604304338793014,37.336555844316464,degC
1.4,0,0.13335,0.6057808,28,1.4000000000000001,135900,848.10868,1309.401188345697,0.22547741758553558,1306.9435297010518,1312.9512220358024,37.21374930189046,0.009106159761822726,37.07037718822994,37.31300461755714,37.07037807817066,degC
1.45,0,0.13335,0.62683618,29,1.4500000000000002,135900,847.33053,1315.2759022644864,0.2139509570008914,1312.9598107691106,1318.4954189209138,36.942565975643056,0.008632722751884408,36.81266146350809,37.0360181201338,36.81266222694942,degC
1.5,0,0.13335,0.64723766,30,1.5,135900,846.61768,1321.0529005051899,0.20748286436274896,1318.6624565285597,1323.9350909840357,36.67858617357264,0.008364698155549757,36.56239029659555,36.774957227556655,36.5623899331158,degC
1.55,0,0.13335,0.66697787,31,1.55,135900,845.97315,1326.7403675567111,0.20546130977841012,1324.3074691881998,1329.2786055040358,36.42154636682816,0.008276892925541287,36.319294883411594,36.51955430475384,36.319295105138565,degC
1.6,0,0.13335,0.68605104,32,1.6,135900,845.40011,1332.3453401036456,0.20672655217094252,1329.9042862182093,1334.5392230901168,36.17123515770907,0.008322221425963606,36.082915685419074,36.26950502548354,36.082916614961334,degC
1.65,0,0.13335,0.70445283,33,1.6500000000000001,135900,844.90164,1337.8740058108783,0.20981111159294882,1335.4534297903829,1339.7204716995216,35.927470570048534,0.008441416775005019,35.85318094826193,36.02485860097527,35.85317980963715,degC
1.7,0,0.13335,0.72218025,34,1.7000000000000002,135900,844.48071,1343.3314782348484,0.21337531259401885,1340.9588060360725,1344.88779202352,35.690108161827894,0.008580539784565175,35.62752354405455,35.78552130006692,35.62752322329343,degC
1.75,0,0.13335,0.73923152,35,1.75,135900,844.14007,1348.721722134397,0.21658665499959506,1346.4202092657458,1350.4576315100471,35.459039344116654,0.008706165433924953,35.38926074117022,35.55155359335708,35.38926200778419,degC
1.8,0,0.13335,0.75560614,36,1.8,135900,843.88123,1354.0481192241061,0.21905458977519907,1351.828380476815,1355.933822087022,35.23412617216545,0.008802669364601917,35.15834954114774,35.323325975229395,35.15835042871076,degC
1.85,0,0.13335,0.77129213,37,1.85,135900,843.80457,1359.0564096891678,0.22236217944851586,1356.9063339594938,1361.0863860949012,35.0296864571899,0.008934772533991326,34.94811963013513,35.1160790155968,34.948119071412,degC
1.9,0,0.13335,0.78630152,38,1.9000000000000001,135900,843.75247,1364.1654056831976,0.2225106200392516,1362.1203153197646,1366.2833054796151,34.822250817416666,0.008940185012350003,34.73715638006239,34.904419867203316,34.737156600226136,degC
1.95,0,0.13335,0.80064056,39,1.9500000000000002,135900,843.76605,1369.2586653463404,0.2216167574716459,1367.3267620090853,1371.431156749338,34.61816748356887,0.008904414098364689,34.53087822215143,34.695790076323995,34.53087648436857,degC
2.0,0,0.13335,0.81431626,40,2.0,135900,843.84533,1374.3188313243108,0.21965238957928784,1372.5052926215972,1376.5171494269448,34.41808698506774,0.00882631634142014,34.32975172484097,34.49096061197532,34.32975371096937,degC
2.05,0,0.13335,0.82733654,41,2.0500000000000003,135900,843.98909,1379.3388007522542,0.21667636599370244,1377.6464739962341,1381.538551839703,34.22219819894826,0.008708213759977714,34.13379029806625,34.29021273793856,34.133788362505996,degC
2.1,0,0.13335,0.83971043,42,2.1,135900,844.19447,1384.3146570400736,0.21287225253747533,1382.7177289212614,1386.4922763669404,34.03049786601539,0.008557408495646662,33.9429581425151,34.09469395586724,33.94295719247234,degC
2.15,0,0.13335,0.85144818,43,2.15,135900,844.45766,1389.2437885625143,0.2083955834456103,1387.740601899041,1391.3817154658007,33.8428958072364,0.008380059369086432,33.75692491437924,33.90334235449259,33.75692553629419,degC
2.2,0,0.13335,0.86256124,44,2.2,135900,844.77426,1394.1243435352649,0.2033578747040038,1392.7134072288138,1396.2095151085086,33.659252250619566,0.008180547529440352,33.57537133286908,33.71601047320001,33.57537194064429,degC
2.25,0,0.13335,0.87306233,45,2.25,135900,845.1391,1398.9548302771977,0.19788095520055646,1397.6343809483621,1401.0265490510649,33.47938738256554,0.007963663446920868,33.39601164256557,33.532528494821136,33.3960136166119,degC
2.3,0,0.13335,0.88296538,46,2.3000000000000003,135900,845.54663,1403.7338962334748,0.1920884291905153,1402.5037694217358,1405.7772716716627,33.30310638850073,0.007734272569715907,33.2208316639491,33.35263636850734,33.220830523333376,degC
2.35,0,0.13335,0.89228555,47,2.35,135900,845.99084,1408.4602260662284,0.18613527352941958,1407.3219656093358,1410.5030284137063,33.13020074560197,0.0074985112574658805,33.04790588494023,33.176055884652705,33.047907029594285,degC
2.4,0,0.13335,0.90103911,48,2.4000000000000004,135900,846.4654,1413.1325351852684,0.18014763002617867,1411.977226594989,1415.1527745771245,32.96045433054228,0.007261368367102919,32.87902277126021,33.007022366161046,32.879021746518085,degC
2.45,0,0.13335,0.90924338,49,2.45,135900,846.96387,1417.7494760235566,0.17420293967905298,1416.5608853197184,1419.732638792971,32.793655546957915,0.0070258855217117866,32.713671393909195,32.841593327070726,32.71367295849228,degC
2.5,0,0.13335,0.91691663,50,2.5,135900,847.48034,1422.3097507894383,0.1683262800324181,1421.103953245274,1424.3184695905975,32.62961739545961,0.0067930101444194585,32.548553124384796,32.678278810350044,32.54855189717666,degC
2.55,0,0.13335,0.92407806,51,2.5500000000000003,135900,848.0092,1426.8125462557698,0.162420218794408,1425.6050226719558,1428.8363395404515,32.46815037712767,0.006558754276365287,32.38642679025587,32.5169118584749,32.386428386954286,degC
2.6,0,0.13335,0.93074765,52,2.6,135900,848.545,1431.2572520123001,0.15637497032575584,1430.059233490011,1433.2807335344992,32.309068016248695,0.0063186285330985,32.22730539109373,32.35747623658184,32.22730674611904,degC
2.65,0,0.13335,0.9369459,53,2.6500000000000004,135900,849.08247,1435.6434140884846,0.15017023873869892,1434.467300466358,1437.6511638672087,32.152189148857936,0.006071757963273547,32.07101080879789,32.19974236120441,32.07100934785885,degC
2.7,0,0.13335,0.9426938,54,2.7,135900,849.61711,1439.9706199684188,0.1437523332387112,1438.8263621392225,1441.94877950269,31.99736443909637,0.005815925805811004,31.91733214449511,32.04365877385525,31.917331315215808,degC
2.75,0,0.13335,0.94801261,55,2.75,135900,850.14498,1444.238424091505,0.13723661067900192,1443.1334696021727,1446.176410236956,31.844470593737892,0.005555762649569896,31.766014917887205,31.889202570510964,31.766015332310854,degC
2.8,0,0.13335,0.95292378,56,2.8000000000000003,135900,850.66271,1448.4440820644888,0.13160833011399767,1447.3871707589087,1450.335232652198,31.693501831955217,0.005331157083492769,31.616895580338117,31.73631492888066,31.61689690300514,degC
2.85,0,0.13335,0.95744883,57,2.85,135900,851.16714,1452.5797405995884,0.1298282380248118,1451.5870829690484,1454.4252321587976,31.544670040043147,0.005262168097658028,31.469869003264773,31.584904209394875,31.46987030671771,degC
2.9,0,0.13335,0.9616092,58,2.9000000000000004,135900,851.65581,1456.6423796845402,0.1292482846804886,1455.735478397033,1458.447900332986,31.398019904187386,0.005241669170508195,31.324796944648167,31.43479932088273,31.324796958152426,degC
2.95,0,0.13335,0.96542616,59,2.95,135900,852.12629,1460.6328296628442,0.12541203159351244,1459.8105610874425,1462.4141286845022,31.25344285017612,0.005088899485863937,31.181162291761552,31.286808405916155,31.18116345570529,degC
3.0,0,0.13335,0.96892053,60,3.0,135900,852.57819,1464.560792419224,0.11760816965423285,1463.8128063671857,1466.3240647303644,31.110545981702476,0.004774769543477097,31.038958957154424,31.1409134385783,31.038957525243852,degC
3.05,0,0.13335,0.97211271,61,3.0500000000000003,135900,853.01159,1468.4314047527828,0.10904615985362125,1467.7398007212198,1470.1583031938387,30.96913800844739,0.004429411342863411,30.898992085353406,30.997230687238524,30.89899221508585,degC
3.1,0,0.13335,0.97502258,62,3.1,135900,853.42679,1472.2458853353824,0.10101172330156531,1471.5910207080096,1473.892234889321,30.82919402185792,0.0041050528937915725,30.76228741161813,30.85580730837332,30.76228882949819,degC
3.15,0,0.13335,0.97766945,63,3.1500000000000004,135900,853.8246,1476.0048866573472,0.09385429631904198,1475.3875779820153,1477.5615507787736,30.6907298553212,0.00381595747680416,30.627438516234946,30.71582858545414,30.627436514982854,degC
3.2,0,0.13335,0.98007196,64,3.2,135900,854.20625,1479.7090218771627,0.0876100960036353,1479.1266655867855,1481.1766163844352,30.553777054459093,0.0035636710271145355,30.494080463955378,30.577465263171796,30.494081130416657,degC
3.25,0,0.13335,0.98224805,65,3.25,135900,854.57352,1483.3589810552523,0.08223788535021126,1482.8080556782895,1484.7380021045976,30.418382439428544,0.003346586626718392,30.36226458836698,30.440801784126098,30.362264674011424,degC
3.3,0,0.13335,0.98421492,66,3.3000000000000003,135900,854.92863,1486.9557285909698,0.07769310275616916,1486.4112354990393,1488.2459606134864,30.284595729550954,0.0031629551380848195,30.23206923929419,30.30676252636661,30.23206763583428,degC
3.35,0,0.13335,0.98598896,67,3.35,135900,855.27349,1490.5004634792379,0.07395735125400259,1489.9528479810183,1491.701653819368,30.152444377142615,0.003012083900865072,30.103523126935112,30.174747282777854,30.103521246122238,degC
3.4,0,0.13335,0.98758577,68,3.4000000000000004,135900,855.60994,1493.9944547613543,0.07095826580349411,1493.4457901116034,1495.1106179349733,30.021948992871664,0.0028910760736491274,29.97647278782355,30.044303418017066,29.976473518554094,degC
3.45,0,0.13335,0.98902008,69,3.45,135900,855.94004,1497.4389322718218,0.06841886408991846,1496.891186653475,1498.475945738776,29.89313803084283,0.002788687869803785,29.850870347586383,29.915463621627477,29.850872211855425,degC
3.5,0,0.13335,0.99030581,70,3.5,135900,856.2657,1500.835169011709,0.06600509695494008,1500.2907664100564,1501.7991713737454,29.766031441265277,0.002691328597509028,29.72672467186857,29.788229216255072,29.726723504645715,degC
3.55,0,0.13335,0.99145599,71,3.5500000000000003,135900,856.58898,1504.1843046763686,0.0637746626157893,1503.6475675038762,1505.080602271678,29.640658417060017,0.0026013653904715783,29.604098481681792,29.66255190025588,29.60409857434343,degC
3.6,0,0.13335,0.99248286,72,3.6,135900,856.91183,1507.4872696977882,0.06153081960064271,1506.963443952421,1508.322879118667,29.517051475098317,0.002510785105970794,29.48295416090734,29.538426355006116,29.482953308837764,degC
3.65,0,0.13335,0.9933978,73,3.6500000000000004,135900,857.23598,1510.7446335044517,0.058990227084254915,1510.2379659286498,1511.5271328526762,29.395249026241462,0.002408025958333038,29.363306807402182,29.415931582235583,29.363308148473422,degC
3.7,0,0.13335,0.9942114,74,3.7,135900,857.56288,1513.9573036364768,0.05619673204150665,1513.4728395009217,1514.6916440696014,29.275265016403253,0.0022948681607668025,29.24527724989227,29.295048752562458,29.245279049532943,degC
3.75,0,0.13335,0.99493346,75,3.75,135900,857.89333,1517.1265272577018,0.053460436917593335,1516.6683323919415,1517.817711255409,29.157076510954973,0.0021839691547851942,29.12884021850565,29.17579471663002,29.128840678312326,degC
3.8,0,0.13335,0.99557303,76,3.8000000000000003,135900,858.22832,1520.253763875155,0.05134408249488291,1519.8260615555118,1520.9057203113205,29.040657806083274,0.0020983307457869025,29.0140136405155,29.05813715099983,29.014014470598852,degC
3.85,0,0.13335,0.99613845,77,3.85,135900,858.5686,1523.3400127783189,0.050166483927797545,1522.9476550719187,1523.9586285492112,28.92599329594936,0.0020510175177529217,28.900701673265885,28.942034534362843,28.900702840478093,degC
3.9,0,0.13335,0.99663735,78,3.9000000000000004,135900,858.91463,1526.3863960489227,0.05007445545358365,1526.0338024317841,1526.9744983274477,28.81305217790981,0.0020480801132555303,28.78899838500688,28.827473502490996,28.78899831659833,degC
